曲名,source_id,source,target_id,target,演变特征,weight
鸥鹭忘机,S001,宋代刘志方(原曲),S002,明·神奇秘谱(1425),两段加泛音尾声式,1
鸥鹭忘机,S001,宋代刘志方(原曲),S003,明·重修正文对音捷要真传(1585),两段无泛音尾声式(江派加词),1
鸥鹭忘机,S002,明·神奇秘谱(1425),S004,明·西麓堂琴统(1525),同商意系统,1
鸥鹭忘机,S002,明·神奇秘谱(1425),S005,明·风宣玄品(1539),同商意系统,1
鸥鹭忘机,S002,明·神奇秘谱(1425),S006,明·太音传习(1552),改称《滕六吟》,1
鸥鹭忘机,S004,明·西麓堂琴统(1525),S007,明·思齐堂琴谱(1620),扩充为三段式,1
鸥鹭忘机,S007,明·思齐堂琴谱(1620),S008,明·古音正宗(1634),增益吟猱，分段,1
鸥鹭忘机,S008,明·古音正宗(1634),S009,清·徽言秘旨(1647),扩充为七段式，泛音起首,1
鸥鹭忘机,S009,清·徽言秘旨(1647),S010,清·五知斋琴谱(1722),泛音起首，三段加泛音尾声,1
鸥鹭忘机,S007,明·思齐堂琴谱(1620),S011,明末遗民韩畕(石耕),韩畕据此重修，补入宫音首段,1
鸥鹭忘机,S011,明末遗民韩畕(石耕),S012,清·松风阁琴谱(1677),韩畕修订式(清代主流),1
鸥鹭忘机,S012,清·松风阁琴谱(1677),S013,清·蓼怀堂琴谱(1702),缩为五段加尾声,1
鸥鹭忘机,S012,清·松风阁琴谱(1677),S014,清·春草堂琴谱(1744),沿用韩畕新作段首,1
鸥鹭忘机,S012,清·松风阁琴谱(1677),S015,清·悟雪山房琴谱(1836),标《古冈遗谱》，实承韩畕清宫谱,2
鸥鹭忘机,S015,清·悟雪山房琴谱(1836),S016,清·蔗湖琴谱(晚清),岭南派内部传抄细订,3
鸥鹭忘机,S007,明·思齐堂琴谱(1620),S017,清·愧庵琴谱(1660),"新增""打圆""起音系统",1
鸥鹭忘机,S017,清·愧庵琴谱(1660),S018,清·琴谱谐声(1820),沿用打圆，姑洗之律,1
碧涧流泉(石上流泉),S019,古传《石上流泉》,S020,明·琴谱正传(1547),明版系统发端(起奏紧，和弦结音),1
碧涧流泉(石上流泉),S019,古传《石上流泉》,S021,清·琴书千古(1738),清版系统发端(起奏缓，无撮，五段),1
碧涧流泉(石上流泉),S020,明·琴谱正传(1547),S004,明·西麓堂琴统(1525),明版扩充为八段，确定小标题,1
碧涧流泉(石上流泉),S004,明·西麓堂琴统(1525),S022,明·真传正宗琴谱(1609),明版系统延续,1
碧涧流泉(石上流泉),S022,明·真传正宗琴谱(1609),S023,明·乐仙琴谱(1623),明版系统延续,1
碧涧流泉(石上流泉),S023,明·乐仙琴谱(1623),S009,清·徽言秘旨(1647),明版系统延续,1
碧涧流泉(石上流泉),S009,清·徽言秘旨(1647),S024,清·天闻阁琴谱(1876),晚清明版系统,1
碧涧流泉(石上流泉),S009,清·徽言秘旨(1647),S025,清·双琴书屋琴谱集成(1884),粤人传至云南，割裂为十三段,1
碧涧流泉(石上流泉),S021,清·琴书千古(1738),S026,清·琴学軔端(1828),清版系统，旋律相近,1
碧涧流泉(石上流泉),S026,清·琴学軔端(1828),S015,清·悟雪山房琴谱(1836),改名《碧涧流泉》，变中吕均商音,2
碧涧流泉(石上流泉),S015,清·悟雪山房琴谱(1836),S027,清·琴学入门(1864),晚清清版系统,3
碧涧流泉(石上流泉),S015,清·悟雪山房琴谱(1836),S028,清·希韶阁琴瑟合谱(1890),晚清清版系统,3
渔樵问答,S029,古传《渔樵问答》,S030,明·杏庄太音续谱(1559),早期版本，有明显渔樵主题旋律,1
渔樵问答,S029,古传《渔樵问答》,S031,明·玉梧琴谱(1589),早期版本，有明显渔樵主题旋律,1
渔樵问答,S031,明·玉梧琴谱(1589),S032,明·真传正宗琴谱(1585),江西派加词版(正文对音),1
渔樵问答,S030,明·杏庄太音续谱(1559),S033,明·杨表正传谱,分化出杨表正旋律版,1
渔樵问答,S033,明·杨表正传谱,S021,清·琴书千古(1738),明确注明杨表正版,1
渔樵问答,S021,清·琴书千古(1738),S026,清·琴学軔端(1828),缓起，八段,1
渔樵问答,S026,清·琴学軔端(1828),S015,清·悟雪山房琴谱(1836),标《古冈遗谱》，实承杨氏，改徵音,2
渔樵问答,S015,清·悟雪山房琴谱(1836),S027,清·琴学入门(1864),沿用中吕均徵音,3
渔樵问答,S015,清·悟雪山房琴谱(1836),S034,清·琴瑟合谱(1870),庆瑞编，七段,3
渔樵问答,S015,清·悟雪山房琴谱(1836),S035,清·枯木禅琴谱(1893),晚清岭南及南方通行版,3
渔樵问答,S015,清·悟雪山房琴谱(1836),S036,清·琴学初津(1894),晚清版,3
懷古,S004,明·西麓堂琴统(1525),S037,明·梧冈琴谱(1546),简本《夷旷吟》，无打圆,1
懷古,S037,明·梧冈琴谱(1546),S006,明·太音传习(1552),"分化出有""打圆""起奏系统",1
懷古,S006,明·太音传习(1552),S038,明·文会堂琴谱(1596),泛音增益,1
懷古,S038,明·文会堂琴谱(1596),S008,明·古音正宗(1634),尾声新修,1
懷古,S008,明·古音正宗(1634),S039,清·琴苑心传全编(1670),改称《怀古引》,1
懷古,S037,明·梧冈琴谱(1546),S015,清·悟雪山房琴谱(1836),标《古冈遗谱》，泛音近梧冈，改宫音,2
懷古,S015,清·悟雪山房琴谱(1836),S016,清·蔗湖琴谱(晚清),"岭南派内部传抄，新增""半轮""指法",3
懷古,S015,清·悟雪山房琴谱(1836),S040,清·以六正五之斋秘谱(1875),广陵派吸收，增益徽分音,3
懷古,S015,清·悟雪山房琴谱(1836),S025,清·双琴书屋琴谱集成(1884),传入云南,3
懷古,S041,清·以六正五之斋秘谱,S042,民国·招鉴芬钞古冈遗谱,现代回溯的《古冈遗谱》实源于此,1
